User,taskID,role,condition,numberCollisionsDominant,timeCollisionsDominant,distanceDominant,numberCollisionsNotDominant,timeCollisionsNotDominant,distanceNotDominant
2,3,nonDominant,FaceToFaceNoIntersect,2,167.5356,1.608017,,,
3,2,nonDominant,Angled90,20,301.5843,17.53879,,,
3,3,nonDominant,Angled90,55,345.0195,28.87622,,,
3,2,nonDominant,CoupledView,7,168.797,4.969497,,,
3,3,nonDominant,CoupledView,12,252.5069,5.888808,,,
3,2,nonDominant,FaceToFaceNoIntersect,8,177.948,4.084987,,,
3,3,nonDominant,FaceToFaceNoIntersect,11,161.5472,4.872833,,,
3,2,nonDominant,SideBySide,9,152.7481,4.325983,,,
3,3,nonDominant,SideBySide,1,0.1952209,0.3704762,,,
3,2,nonDominant,FacetoFaceIntersect,15,165.9981,8.130583,,,
3,3,nonDominant,FacetoFaceIntersect,5,2.212799,2.271738,,,
0,2,nonDominant,FacetoFaceIntersect,0,0,0,,,
0,3,nonDominant,FacetoFaceIntersect,0,0,0,,,
4,2,nonDominant,FaceToFaceNoIntersect,35,41.13969,16.82471,,,
4,3,nonDominant,FaceToFaceNoIntersect,50,147.1289,21.33467,,,
4,2,nonDominant,FacetoFaceIntersect,27,70.32143,11.46548,,,
4,3,nonDominant,FacetoFaceIntersect,43,45.0029,17.58657,,,
4,2,nonDominant,Angled90,24,81.6991,12.33452,,,
4,3,nonDominant,Angled90,10,7.876953,4.210214,,,
4,2,nonDominant,SideBySide,26,30.20068,12.39211,,,
4,3,nonDominant,SideBySide,8,3.368866,3.206347,,,
4,2,nonDominant,CoupledView,8,146.2326,3.96543,,,
4,3,nonDominant,CoupledView,2,0.3334961,0.7597792,,,
0,2,nonDominant,CoupledView,0,0,0,,,
0,3,nonDominant,CoupledView,0,0,0,,,
5,2,nonDominant,SideBySide,22,37.56357,10.75414,,,
5,3,nonDominant,SideBySide,65,90.52267,36.1789,,,
5,2,nonDominant,FacetoFaceIntersect,20,92.5098,16.15068,,,
5,3,nonDominant,FacetoFaceIntersect,49,68.70435,25.60302,,,
5,2,nonDominant,FacetoFaceIntersect,0,0,0,,,
5,3,nonDominant,FacetoFaceIntersect,0,0,0,,,
5,2,nonDominant,CoupledView,14,106.2798,9.082455,,,
5,3,nonDominant,CoupledView,6,12.83722,3.173147,,,
5,2,nonDominant,CoupledView,0,0,0,,,
5,3,nonDominant,CoupledView,48,121.4117,23.34063,,,
5,2,nonDominant,FaceToFaceNoIntersect,45,110.1579,24.80982,,,
5,3,nonDominant,FaceToFaceNoIntersect,59,96.45462,32.10503,,,
5,2,nonDominant,Angled90,16,20.52206,9.512142,,,
5,3,nonDominant,Angled90,40,75.59964,22.47443,,,
6,2,nonDominant,CoupledView,1,240.012,0.8474107,,,
6,3,nonDominant,CoupledView,13,8.193236,5.125039,,,
6,2,nonDominant,Angled90,20,299.714,8.19095,,,
6,3,nonDominant,Angled90,15,20.73166,7.679355,,,
6,2,nonDominant,SideBySide,6,204.6648,2.503017,,,
6,3,nonDominant,SideBySide,5,3.660035,2.634859,,,
6,2,nonDominant,FaceToFaceNoIntersect,10,119.7694,5.047044,,,
6,3,nonDominant,FaceToFaceNoIntersect,17,18.13864,6.685027,,,
6,2,nonDominant,FacetoFaceIntersect,13,222.0645,5.381642,,,
6,3,nonDominant,FacetoFaceIntersect,9,10.5939,3.82552,,,
7,2,nonDominant,FaceToFaceNoIntersect,1,0.7515869,0.5383168,,,
7,3,nonDominant,FaceToFaceNoIntersect,21,20.23212,11.88076,,,
7,2,nonDominant,SideBySide,6,181.054,2.806647,,,
7,3,nonDominant,SideBySide,10,8.200593,4.570216,,,
7,2,nonDominant,Angled90,2,185.3096,1.221036,,,
7,3,nonDominant,Angled90,21,24.71164,10.41108,,,
7,2,nonDominant,FacetoFaceIntersect,1,154.1271,0.6895704,,,
7,3,nonDominant,FacetoFaceIntersect,15,20.10638,6.748257,,,
7,2,nonDominant,CoupledView,2,184.2796,1.753353,,,
7,3,nonDominant,CoupledView,0,0,0,,,
8,2,nonDominant,FacetoFaceIntersect,10,310.7109,5.883031,,,
8,3,nonDominant,FacetoFaceIntersect,3,176.4464,1.533681,,,
8,2,nonDominant,SideBySide,13,155.2569,5.891984,,,
8,3,nonDominant,SideBySide,16,143.6162,7.739236,,,
8,2,nonDominant,FaceToFaceNoIntersect,24,213.0164,12.81791,,,
8,3,nonDominant,FaceToFaceNoIntersect,28,161.4799,12.27116,,,
8,2,nonDominant,CoupledView,16,173.4473,8.462694,,,
8,3,nonDominant,CoupledView,2,127.1059,1.114029,,,
8,2,nonDominant,Angled90,17,117.3575,9.617387,,,
8,3,nonDominant,Angled90,36,218.3114,19.10458,,,
9,2,nonDominant,CoupledView,3,243.353,1.575273,,,
9,3,nonDominant,CoupledView,10,250.7729,4.846417,,,
9,2,nonDominant,SideBySide,5,99.74817,2.501957,,,
9,3,nonDominant,SideBySide,16,206.1677,6.97356,,,
9,2,nonDominant,Angled90,4,146.6359,2.195114,,,
9,3,nonDominant,Angled90,11,160.9902,5.638438,,,
9,2,nonDominant,FacetoFaceIntersect,1,114.421,0.622178,,,
9,3,nonDominant,FacetoFaceIntersect,10,196.2398,4.83012,,,
9,2,nonDominant,FaceToFaceNoIntersect,1,83.86183,0.7138183,,,
9,3,nonDominant,FaceToFaceNoIntersect,16,127.8294,6.834828,,,
