TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
TimeInsideGazeBoundsAngled90dominant,TimeSecondzoneAngled90dominant,TimeOutsideGazeBoundsAngled90dominant,TotalTimeAngled90dominant,PercentageInsideGazeBoundsAngled90dominant,PercentageSecondZoneAngled90dominant,PercentageOutsideGazeBoundsCoupledViewdominant,TimeInsideGazeBoundsCoupledViewdominant,TimeSecondzoneCoupledViewdominant,TimeOutsideGazeBoundsCoupledViewdominant,TotalTimeCoupledViewdominant,PercentageInsideGazeBoundsCoupledViewdominant,PercentageSecondZoneCoupledViewdominant,PercentageOutsideGazeBoundsFaceToFaceIntersectdominant,TimeInsideGazeBoundsFaceToFaceIntersectdominant,TimeSecondzoneFaceToFaceIntersectdominant,TimeOutsideGazeBoundsFaceToFaceIntersectdominant,TotalTimeFaceToFaceIntersectdominant,PercentageInsideGazeBoundsFaceToFaceIntersectdominant,PercentageSecondZoneFaceToFaceIntersectdominant,PercentageOutsideGazeBoundsFaceToFaceNoIntersectdominant,TimeInsideGazeBoundsFaceToFaceNoIntersectdominant,TimeSecondzoneFaceToFaceNoIntersectdominant,TimeOutsideGazeBoundsFaceToFaceNoIntersectdominant,TotalTimeFaceToFaceNoIntersectdominant,PercentageInsideGazeBoundsFaceToFaceNoIntersectdominant,PercentageSecondZoneFaceToFaceNoIntersectdominant,PercentageOutsideGazeBoundsSideBySidedominant,TimeInsideGazeBoundsSideBySidedominant,TimeSecondzoneSideBySidedominant,TimeOutsideGazeBoundsSideBySidedominant,TotalTimeSideBySidedominant,PercentageInsideGazeBoundsSideBySidedominant,PercentageSecondZoneSideBySidedominant,PercentageOutsideGazeBoundsdominant
126.3121,1.281387,0.3760986,127.9696,98.70478,1.409382,0.2938968,86.20349,2.366486,1.238647,89.80862,95.98576,1.30231,1.379208,107.2972,0,0,107.2972,100,0,0,211.2211,2.142944,2.031799,215.3958,98.06183,0.8997223,0.9432864,73.02716,41.66736,0,114.6945,63.67101,28.20365,0
64.26129,19.11096,5.667267,89.03952,72.17165,13.27752,6.364889,70.87296,20.46976,4.621735,95.96445,73.85335,16.37214,4.816091,118.8192,18.33432,0,137.1535,86.63226,16.0861,0,87.03592,24.2955,4.676758,116.0082,75.02567,13.52621,4.031404,73.77893,22.4855,16.21844,112.4829,65.59126,23.39473,14.41859
124.572,1.476166,0,126.0481,98.82889,1.02729,0,80.67346,1.402618,0,82.07608,98.29108,1.124145,0,159.6699,0.1543884,0,159.8243,99.9034,0.1356887,0,121.0963,3.787415,0,124.8837,96.96725,2.119771,0,193.6979,0.2320251,0,193.9299,99.88036,0.2418716,0
,,,,,,,175.2443,43.89557,0,219.1398,79.96915,18.32482,0,,,,,,,,68.77351,23.427,2.421188,94.6217,72.6826,28.57065,2.558809,,,,,,,
,,,,,,,204.8295,0.5422974,0,205.3718,99.73595,0.2266525,0,,,,,,,,84.50676,0.6257019,0,85.13246,99.26502,0.750313,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angled90,Angled90,Angled90,Angled90,Angled90,Angled90,Angled90,CoupledView,CoupledView,CoupledView,CoupledView,CoupledView,CoupledView,CoupledView,FaceToFaceIntersect,FaceToFaceIntersect,FaceToFaceIntersect,FaceToFaceIntersect,FaceToFaceIntersect,FaceToFaceIntersect,FaceToFaceIntersect,FaceToFaceNoIntersect,FaceToFaceNoIntersect,FaceToFaceNoIntersect,FaceToFaceNoIntersect,FaceToFaceNoIntersect,FaceToFaceNoIntersect,FaceToFaceNoIntersect,SideBySide,SideBySide,SideBySide,SideBySide,SideBySide,SideBySide,SideBySide
dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant,dominant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PercentageSecondZoneSideBySide,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PercentageOutsideGazeBoundsSideBySide,,,,,,,,,,,,,,,,,,,,,,,,,
