Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds,,,,,,,,,,,,,,,,,,,,,
9,CoupledView,P2,TRUE,39.48579,100.8501,140.3359,28.13663,71.86337,,TimeInsideGazeBounds,CoupledView,39.48579,,TimeOutsideGazeBounds,CoupledView,100.8501,,TimeOutsideGazeBounds,CoupledView,140.3359,,TimeOutsideGazeBounds,CoupledView,28.13663,,TimeOutsideGazeBounds,CoupledView,71.86337
10,CoupledView,P2,TRUE,,,,,,,,CoupledView,,,TimeOutsideGazeBounds,CoupledView,,,TimeOutsideGazeBounds,CoupledView,,,TimeOutsideGazeBounds,CoupledView,,,TimeOutsideGazeBounds,CoupledView,
10,CoupledView,P2,TRUE,59.62151,80.59161,140.2131,42.52206,57.47794,,TimeInsideGazeBounds,CoupledView,59.62151,,TimeOutsideGazeBounds,CoupledView,80.59161,,TimeOutsideGazeBounds,CoupledView,140.2131,,TimeOutsideGazeBounds,CoupledView,42.52206,,TimeOutsideGazeBounds,CoupledView,57.47794
11,CoupledView,P2,TRUE,34.90179,162.5134,197.4152,17.67939,82.32061,,TimeInsideGazeBounds,CoupledView,34.90179,,TimeOutsideGazeBounds,CoupledView,162.5134,,TimeOutsideGazeBounds,CoupledView,197.4152,,TimeOutsideGazeBounds,CoupledView,17.67939,,TimeOutsideGazeBounds,CoupledView,82.32061
12,CoupledView,P2,TRUE,69.98309,127.2348,197.2179,35.48516,64.51484,,TimeInsideGazeBounds,CoupledView,69.98309,,TimeOutsideGazeBounds,CoupledView,127.2348,,TimeOutsideGazeBounds,CoupledView,197.2179,,TimeOutsideGazeBounds,CoupledView,35.48516,,TimeOutsideGazeBounds,CoupledView,64.51484
13,CoupledView,P2,TRUE,47.98337,63.29059,111.274,43.12183,56.87817,,TimeInsideGazeBounds,CoupledView,47.98337,,TimeOutsideGazeBounds,CoupledView,63.29059,,TimeOutsideGazeBounds,CoupledView,111.274,,TimeOutsideGazeBounds,CoupledView,43.12183,,TimeOutsideGazeBounds,CoupledView,56.87817
14,CoupledView,P2,TRUE,42.68356,68.43311,111.1167,38.41328,61.58672,,TimeInsideGazeBounds,CoupledView,42.68356,,TimeOutsideGazeBounds,CoupledView,68.43311,,TimeOutsideGazeBounds,CoupledView,111.1167,,TimeOutsideGazeBounds,CoupledView,38.41328,,TimeOutsideGazeBounds,CoupledView,61.58672
15,CoupledView,P2,TRUE,39.10526,86.58121,125.6865,31.11334,68.88666,,TimeInsideGazeBounds,CoupledView,39.10526,,TimeOutsideGazeBounds,CoupledView,86.58121,,TimeOutsideGazeBounds,CoupledView,125.6865,,TimeOutsideGazeBounds,CoupledView,31.11334,,TimeOutsideGazeBounds,CoupledView,68.88666
16,CoupledView,P2,TRUE,55.74506,69.94128,125.6863,44.35252,55.64748,,TimeInsideGazeBounds,CoupledView,55.74506,,TimeOutsideGazeBounds,CoupledView,69.94128,,TimeOutsideGazeBounds,CoupledView,125.6863,,TimeOutsideGazeBounds,CoupledView,44.35252,,TimeOutsideGazeBounds,CoupledView,55.64748
17,CoupledView,P2,TRUE,103.2047,135.7142,238.9189,43.19654,56.80346,,TimeInsideGazeBounds,CoupledView,103.2047,,TimeOutsideGazeBounds,CoupledView,135.7142,,TimeOutsideGazeBounds,CoupledView,238.9189,,TimeOutsideGazeBounds,CoupledView,43.19654,,TimeOutsideGazeBounds,CoupledView,56.80346
18,CoupledView,P2,TRUE,138.4706,100.6059,239.0765,57.91896,42.08104,,TimeInsideGazeBounds,CoupledView,138.4706,,TimeOutsideGazeBounds,CoupledView,100.6059,,TimeOutsideGazeBounds,CoupledView,239.0765,,TimeOutsideGazeBounds,CoupledView,57.91896,,TimeOutsideGazeBounds,CoupledView,42.08104
19,CoupledView,P2,TRUE,40.70868,87.70517,128.4138,31.70116,68.29884,,TimeInsideGazeBounds,CoupledView,40.70868,,TimeOutsideGazeBounds,CoupledView,87.70517,,TimeOutsideGazeBounds,CoupledView,128.4138,,TimeOutsideGazeBounds,CoupledView,31.70116,,TimeOutsideGazeBounds,CoupledView,68.29884
20,CoupledView,P2,TRUE,55.66739,72.51788,128.1853,43.42729,56.57271,,TimeInsideGazeBounds,CoupledView,55.66739,,TimeOutsideGazeBounds,CoupledView,72.51788,,TimeOutsideGazeBounds,CoupledView,128.1853,,TimeOutsideGazeBounds,CoupledView,43.42729,,TimeOutsideGazeBounds,CoupledView,56.57271
21,CoupledView,P2,TRUE,26.32928,47.56155,73.89084,35.63268,64.36732,,TimeInsideGazeBounds,CoupledView,26.32928,,TimeOutsideGazeBounds,CoupledView,47.56155,,TimeOutsideGazeBounds,CoupledView,73.89084,,TimeOutsideGazeBounds,CoupledView,35.63268,,TimeOutsideGazeBounds,CoupledView,64.36732
22,CoupledView,P2,TRUE,45.88098,27.99121,73.87219,62.1086,37.8914,,TimeInsideGazeBounds,CoupledView,45.88098,,TimeOutsideGazeBounds,CoupledView,27.99121,,TimeOutsideGazeBounds,CoupledView,73.87219,,TimeOutsideGazeBounds,CoupledView,62.1086,,TimeOutsideGazeBounds,CoupledView,37.8914
23,CoupledView,P2,TRUE,76.48737,87.13757,163.6249,46.74554,53.25446,,TimeInsideGazeBounds,CoupledView,76.48737,,TimeOutsideGazeBounds,CoupledView,87.13757,,TimeOutsideGazeBounds,CoupledView,163.6249,,TimeOutsideGazeBounds,CoupledView,46.74554,,TimeOutsideGazeBounds,CoupledView,53.25446
24,CoupledView,P2,TRUE,63.0199,100.5426,163.5625,38.52955,61.47045,,TimeInsideGazeBounds,CoupledView,63.0199,,TimeOutsideGazeBounds,CoupledView,100.5426,,TimeOutsideGazeBounds,CoupledView,163.5625,,TimeOutsideGazeBounds,CoupledView,38.52955,,TimeOutsideGazeBounds,CoupledView,61.47045
3,FacetoFaceIntersect,P2,TRUE,22.09637,141.3189,163.4153,13.52161,86.47839,,TimeInsideGazeBounds,FacetoFaceIntersect,22.09637,,TimeOutsideGazeBounds,FacetoFaceIntersect,141.3189,,TimeOutsideGazeBounds,FacetoFaceIntersect,163.4153,,TimeOutsideGazeBounds,FacetoFaceIntersect,13.52161,,TimeOutsideGazeBounds,FacetoFaceIntersect,86.47839
4,FacetoFaceIntersect,P2,TRUE,89.18207,74.53018,163.7122,54.47489,45.52511,,TimeInsideGazeBounds,FacetoFaceIntersect,89.18207,,TimeOutsideGazeBounds,FacetoFaceIntersect,74.53018,,TimeOutsideGazeBounds,FacetoFaceIntersect,163.7122,,TimeOutsideGazeBounds,FacetoFaceIntersect,54.47489,,TimeOutsideGazeBounds,FacetoFaceIntersect,45.52511
5,FacetoFaceIntersect,P2,TRUE,63.68069,122.6649,186.3456,34.17344,65.82657,,TimeInsideGazeBounds,FacetoFaceIntersect,63.68069,,TimeOutsideGazeBounds,FacetoFaceIntersect,122.6649,,TimeOutsideGazeBounds,FacetoFaceIntersect,186.3456,,TimeOutsideGazeBounds,FacetoFaceIntersect,34.17344,,TimeOutsideGazeBounds,FacetoFaceIntersect,65.82657
6,FacetoFaceIntersect,P2,TRUE,44.98297,141.1064,186.0894,24.17278,75.82722,,TimeInsideGazeBounds,FacetoFaceIntersect,44.98297,,TimeOutsideGazeBounds,FacetoFaceIntersect,141.1064,,TimeOutsideGazeBounds,FacetoFaceIntersect,186.0894,,TimeOutsideGazeBounds,FacetoFaceIntersect,24.17278,,TimeOutsideGazeBounds,FacetoFaceIntersect,75.82722
7,FacetoFaceIntersect,P2,TRUE,29.8295,129.6564,159.4859,18.70353,81.29647,,TimeInsideGazeBounds,FacetoFaceIntersect,29.8295,,TimeOutsideGazeBounds,FacetoFaceIntersect,129.6564,,TimeOutsideGazeBounds,FacetoFaceIntersect,159.4859,,TimeOutsideGazeBounds,FacetoFaceIntersect,18.70353,,TimeOutsideGazeBounds,FacetoFaceIntersect,81.29647
8,FacetoFaceIntersect,P2,TRUE,71.21277,87.77551,158.9883,44.79121,55.20879,,TimeInsideGazeBounds,FacetoFaceIntersect,71.21277,,TimeOutsideGazeBounds,FacetoFaceIntersect,87.77551,,TimeOutsideGazeBounds,FacetoFaceIntersect,158.9883,,TimeOutsideGazeBounds,FacetoFaceIntersect,44.79121,,TimeOutsideGazeBounds,FacetoFaceIntersect,55.20879
9,FacetoFaceIntersect,P2,TRUE,38.26941,86.41437,124.6838,30.69317,69.30682,,TimeInsideGazeBounds,FacetoFaceIntersect,38.26941,,TimeOutsideGazeBounds,FacetoFaceIntersect,86.41437,,TimeOutsideGazeBounds,FacetoFaceIntersect,124.6838,,TimeOutsideGazeBounds,FacetoFaceIntersect,30.69317,,TimeOutsideGazeBounds,FacetoFaceIntersect,69.30682
10,FacetoFaceIntersect,P2,TRUE,58.70392,66.16022,124.8641,47.01424,52.98576,,TimeInsideGazeBounds,FacetoFaceIntersect,58.70392,,TimeOutsideGazeBounds,FacetoFaceIntersect,66.16022,,TimeOutsideGazeBounds,FacetoFaceIntersect,124.8641,,TimeOutsideGazeBounds,FacetoFaceIntersect,47.01424,,TimeOutsideGazeBounds,FacetoFaceIntersect,52.98576
11,FacetoFaceIntersect,P2,TRUE,29.56494,100.5582,130.1231,22.72074,77.27926,,TimeInsideGazeBounds,FacetoFaceIntersect,29.56494,,TimeOutsideGazeBounds,FacetoFaceIntersect,100.5582,,TimeOutsideGazeBounds,FacetoFaceIntersect,130.1231,,TimeOutsideGazeBounds,FacetoFaceIntersect,22.72074,,TimeOutsideGazeBounds,FacetoFaceIntersect,77.27926
12,FacetoFaceIntersect,P2,TRUE,60.71182,69.51193,130.2238,46.62116,53.37884,,TimeInsideGazeBounds,FacetoFaceIntersect,60.71182,,TimeOutsideGazeBounds,FacetoFaceIntersect,69.51193,,TimeOutsideGazeBounds,FacetoFaceIntersect,130.2238,,TimeOutsideGazeBounds,FacetoFaceIntersect,46.62116,,TimeOutsideGazeBounds,FacetoFaceIntersect,53.37884
13,FacetoFaceIntersect,P2,TRUE,45.07779,116.173,161.2508,27.95508,72.04492,,TimeInsideGazeBounds,FacetoFaceIntersect,45.07779,,TimeOutsideGazeBounds,FacetoFaceIntersect,116.173,,TimeOutsideGazeBounds,FacetoFaceIntersect,161.2508,,TimeOutsideGazeBounds,FacetoFaceIntersect,27.95508,,TimeOutsideGazeBounds,FacetoFaceIntersect,72.04492
14,FacetoFaceIntersect,P2,TRUE,106.1506,55.07391,161.2245,65.84024,34.15976,,TimeInsideGazeBounds,FacetoFaceIntersect,106.1506,,TimeOutsideGazeBounds,FacetoFaceIntersect,55.07391,,TimeOutsideGazeBounds,FacetoFaceIntersect,161.2245,,TimeOutsideGazeBounds,FacetoFaceIntersect,65.84024,,TimeOutsideGazeBounds,FacetoFaceIntersect,34.15976
15,FacetoFaceIntersect,P2,TRUE,45.6377,126.8532,172.4909,26.45802,73.54198,,TimeInsideGazeBounds,FacetoFaceIntersect,45.6377,,TimeOutsideGazeBounds,FacetoFaceIntersect,126.8532,,TimeOutsideGazeBounds,FacetoFaceIntersect,172.4909,,TimeOutsideGazeBounds,FacetoFaceIntersect,26.45802,,TimeOutsideGazeBounds,FacetoFaceIntersect,73.54198
16,FacetoFaceIntersect,P2,TRUE,68.10965,104.1212,172.2309,39.54555,60.45445,,TimeInsideGazeBounds,FacetoFaceIntersect,68.10965,,TimeOutsideGazeBounds,FacetoFaceIntersect,104.1212,,TimeOutsideGazeBounds,FacetoFaceIntersect,172.2309,,TimeOutsideGazeBounds,FacetoFaceIntersect,39.54555,,TimeOutsideGazeBounds,FacetoFaceIntersect,60.45445
