Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
10,FaceToFaceNoIntersect,dominant,89.67313,10.81833,4.858795,105.3503,85.11904,13.00459,4.61204
9,Angled90,nondominant,41.7686,50.43849,0,92.20709,45.29869,54.70131,0
9,Angled90,dominant,40.47974,5.953201,18.26331,64.69624,62.56891,6.456338,28.22931
10,Angled90,nondominant,47.24719,21.70971,9.3312,78.2881,60.35041,27.73054,11.91905
10,Angled90,dominant,77.49268,7.152267,1.030701,85.67564,90.4489,9.13583,1.203027
11,CoupledView,nondominant,178.6587,52.68286,7.740295,239.0818,74.727,22.03549,3.237509
11,CoupledView,dominant,131.1844,40.73523,0.5563354,172.476,76.05952,17.03819,0.3225583
12,CoupledView,nondominant,126.8469,99.40656,12.57355,238.827,53.11246,41.62283,5.264709
12,CoupledView,dominant,179.1586,11.21936,0,190.3779,94.1068,4.697693,0
11,Angled90,nondominant,120.967,116.8185,0.9884949,238.774,50.66171,48.9243,0.4139877
11,Angled90,dominant,51.13541,30.79501,33.98569,115.9161,44.11415,12.89714,29.31921
12,Angled90,nondominant,76.28888,68.67703,53.28868,198.2546,38.48026,34.64083,26.87891
12,Angled90,dominant,204.3846,0,0,204.3846,100,0,0
11,SideBySide,nondominant,126.5937,62.52591,3.466278,192.5859,65.73364,32.4665,1.799861
11,SideBySide,dominant,89.58405,36.29605,17.79059,143.6707,62.35374,18.84668,12.38289
12,SideBySide,nondominant,107.1769,62.55016,23.2516,192.9786,55.5382,32.413,12.0488
12,SideBySide,dominant,168.4562,27.08896,0,195.5452,86.14696,14.03728,0
11,FaceToFaceNoIntersect,nondominant,114.4367,6.070511,0.1952972,120.7025,94.80888,5.029315,0.1618005
11,FaceToFaceNoIntersect,dominant,60.79507,11.71426,32.36899,104.8783,57.96724,9.70507,30.86337
12,FaceToFaceNoIntersect,nondominant,58.51273,25.61267,20.22772,104.3531,56.07185,24.54423,19.38392
12,FaceToFaceNoIntersect,dominant,125.2365,0.2640076,0,125.5005,99.78963,0.2529944,0
11,FacetoFaceIntersect,nondominant,184.784,20.41993,1.935974,207.1399,89.20734,9.858037,0.9346215
11,FacetoFaceIntersect,dominant,54.64038,11.4566,28.16113,94.25812,57.96889,5.530853,29.87661
12,FacetoFaceIntersect,nondominant,88.18127,61.41721,26.53806,176.1365,50.06416,34.86909,15.06676
12,FacetoFaceIntersect,dominant,129.4581,0.6120911,0.1116028,130.1818,99.44409,0.3475094,0.08572841
13,FaceToFaceNoIntersect,nondominant,222.8296,16.84583,0,239.6754,92.97141,7.028599,0
13,FaceToFaceNoIntersect,dominant,199.6688,19.47711,1.127808,220.2737,90.64577,8.126452,0.5120029
14,FaceToFaceNoIntersect,nondominant,153.2894,80.04269,4.846344,238.1784,64.35905,33.60619,2.034754
14,FaceToFaceNoIntersect,dominant,211.2211,2.142944,2.031799,215.3958,98.06183,0.8997223,0.9432864
13,SideBySide,nondominant,147.3488,28.48499,0,175.8338,83.80006,16.19995,0
13,SideBySide,dominant,24.97241,13.37842,1.614624,39.96545,62.485,7.608557,4.040049
14,SideBySide,nondominant,56.91577,93.41576,24.90558,175.2371,32.47929,53.3082,14.2125
14,SideBySide,dominant,93.70901,3.142731,2.210083,99.06183,94.59649,1.793416,2.231014
13,Angled90,nondominant,129.427,39.1076,3.709503,172.2441,75.14161,22.70476,2.153631
13,Angled90,dominant,106.9728,23.72238,14.08707,144.7822,73.8853,13.77254,9.729832
14,Angled90,nondominant,121.9866,42.53641,15.53409,180.0571,67.74884,23.62385,8.627314
14,Angled90,dominant,209.6506,4.88739,2.227356,216.7654,96.71777,2.714356,1.027542
13,FacetoFaceIntersect,nondominant,107.6448,44.88144,0.9893036,153.5155,70.1198,29.23576,0.6444322
13,FacetoFaceIntersect,dominant,120.0575,19.71591,0.8880615,140.6614,85.35208,12.84294,0.6313468
14,FacetoFaceIntersect,nondominant,88.8064,59.91074,3.944489,152.6616,58.17205,39.24414,2.583812
14,FacetoFaceIntersect,dominant,131.4613,1.711487,4.300507,137.4733,95.62679,1.121098,3.128249
13,CoupledView,nondominant,112.0292,63.23535,7.237488,182.502,61.38517,34.64912,3.965703
13,CoupledView,dominant,79.36771,16.35617,0.6119995,96.33588,82.38644,8.962186,0.6352769
14,CoupledView,nondominant,91.88434,82.87114,6.958954,181.7144,50.56524,45.60515,3.82961
14,CoupledView,dominant,86.20349,2.366486,1.238647,89.80862,95.98576,1.30231,1.379208
15,FacetoFaceIntersect,nondominant,200.2557,39.17591,0,239.4316,83.63796,16.36204,0
15,FacetoFaceIntersect,dominant,96.77194,38.8699,6.778687,142.4205,67.94803,16.23424,4.759627
16,FacetoFaceIntersect,nondominant,134.8757,96.01105,7.742996,238.6297,56.5209,40.23432,3.244775
16,FacetoFaceIntersect,dominant,107.2972,0,0,107.2972,100,0,0
15,SideBySide,nondominant,119.2108,28.33466,0.2317047,147.7772,80.6693,19.1739,0.1567933
15,SideBySide,dominant,33.16556,17.19437,8.085266,58.44519,56.74643,11.63533,13.83393
16,SideBySide,nondominant,41.07076,100.2771,6.389587,147.7375,27.79982,67.87521,4.324961
16,SideBySide,dominant,73.02716,41.66736,0,114.6945,63.67101,28.20365,0
15,FaceToFaceNoIntersect,nondominant,172.1824,7.435463,0,179.6179,95.8604,4.1396,0
15,FaceToFaceNoIntersect,dominant,87.03592,24.2955,4.676758,116.0082,75.02567,13.52621,4.031404
16,FaceToFaceNoIntersect,nondominant,119.4358,55.79702,3.43811,178.6709,66.84679,31.22893,1.92427
16,FaceToFaceNoIntersect,dominant,121.0963,3.787415,0,124.8837,96.96725,2.119771,0
15,CoupledView,nondominant,117.7923,7.235703,0,125.028,94.21273,5.787267,0
15,CoupledView,dominant,70.87296,20.46976,4.621735,95.96445,73.85335,16.37214,4.816091
16,CoupledView,nondominant,86.39825,35.83781,2.535995,124.7721,69.24487,28.72263,2.032503
16,CoupledView,dominant,80.67346,1.402618,0,82.07608,98.29108,1.124145,0
15,Angled90,nondominant,73.21501,17.8913,0,91.10632,80.36217,19.63783,0
15,Angled90,dominant,110.0737,25.92667,10.38759,146.3879,75.19314,28.4576,7.095932
16,Angled90,nondominant,54.28232,34.11189,2.524185,90.9184,59.70444,37.51924,2.77632
16,Angled90,dominant,126.3121,1.281387,0.3760986,127.9696,98.70478,1.409382,0.2938968
17,CoupledView,nondominant,223.3917,16.0943,0.05560303,239.5416,93.258,6.718792,0.02321227
17,CoupledView,dominant,175.2443,43.89557,0,219.1398,79.96915,18.32482,0
18,CoupledView,nondominant,169.7524,68.78824,0.7231445,239.2638,70.94781,28.74995,0.3022373
18,CoupledView,dominant,204.8295,0.5422974,0,205.3718,99.73595,0.2266525,0
17,SideBySide,nondominant,89.67447,6.439087,0,96.11356,93.30054,6.699458,0
17,SideBySide,dominant,73.77893,22.4855,16.21844,112.4829,65.59126,23.39473,14.41859
18,SideBySide,nondominant,31.82236,63.18759,0.9190979,95.92905,33.17281,65.86909,0.9581017
18,SideBySide,dominant,193.6979,0.2320251,0,193.9299,99.88036,0.2418716,0
17,Angled90,nondominant,132.3258,9.673889,1.935089,143.9348,91.93456,6.721023,1.344421
17,Angled90,dominant,64.26129,19.11096,5.667267,89.03952,72.17165,13.27752,6.364889
18,Angled90,nondominant,86.45726,54.71689,2.52095,143.6951,60.16716,38.07846,1.754375
18,Angled90,dominant,124.572,1.476166,0,126.0481,98.82889,1.02729,0
17,FacetoFaceIntersect,nondominant,97.96664,14.36655,1.64299,113.9762,85.95361,12.60487,1.441521
17,FacetoFaceIntersect,dominant,118.8192,18.33432,0,137.1535,86.63226,16.0861,0
18,FacetoFaceIntersect,nondominant,73.04358,40.73775,0,113.7813,64.19646,35.80354,0
18,FacetoFaceIntersect,dominant,159.6699,0.1543884,0,159.8243,99.9034,0.1356887,0
17,FaceToFaceNoIntersect,nondominant,77.40042,3.969498,0.6268158,81.99673,94.39452,4.841043,0.7644399
17,FaceToFaceNoIntersect,dominant,68.77351,23.427,2.421188,94.6217,72.6826,28.57065,2.558809
18,FaceToFaceNoIntersect,nondominant,53.80762,29.5845,0,83.39212,64.52362,35.47638,0
18,FaceToFaceNoIntersect,dominant,84.50676,0.6257019,0,85.13246,99.26502,0.750313,0
